#,Company,Symbol,Weight,Price,Chg,% Chg
173,Nxp Semiconductors N.v.,NXPI,0.11%,210.24,2.97,(1.43%)
174,Johnson Controls International Plc,JCI,0.11%,80.64,1.93,(2.45%)
175,Schlumberger Limited,SLB,0.11%,36.83,-0.08,(-0.22%)
176,Norfolk Southern Corp.,NSC,0.10%,234.15,3.55,(1.54%)
177,"Simon Property Group, Inc.",SPG,0.10%,171.61,2.35,(1.39%)
178,"Ameriprise Financial, Inc.",AMP,0.10%,532.12,6.36,(1.21%)
179,Copart Inc,CPRT,0.10%,58.22,-0.23,(-0.39%)
180,Aflac Inc.,AFL,0.10%,102.69,1.44,(1.42%)
181,"Kinder Morgan, Inc.",KMI,0.10%,26.85,0.61,(2.32%)
182,Fair Isaac Corporation,FICO,0.10%,"2,090.98",46.09,(2.25%)
183,The Allstate Corporation,ALL,0.10%,193.56,3.77,(1.99%)
184,Ross Stores Inc,ROST,0.10%,149.15,1.36,(0.92%)
185,"American Electric Power Company, Inc.",AEP,0.10%,92.75,1.51,(1.65%)
186,"W.W. Grainger, Inc.",GWW,0.10%,"1,092.96",11.41,(1.05%)
187,Cummins Inc.,CMI,0.10%,351.38,1.68,(0.48%)
188,"Quanta Services, Inc.",PWR,0.10%,328.41,5.82,(1.80%)
189,"United Rentals, Inc.",URI,0.10%,722.64,11.70,(1.65%)
190,"Msci, Inc.",MSCI,0.09%,604.80,4.22,(0.70%)
191,"Metlife, Inc.",MET,0.09%,81.36,1.25,(1.56%)
192,Vistra Corp.,VST,0.09%,139.95,2.75,(2.00%)
193,Phillips 66,PSX,0.09%,110.37,0.02,(0.02%)
194,"American International Group, Inc.",AIG,0.09%,72.69,1.60,(2.25%)
195,Public Storage,PSA,0.09%,297.50,8.17,(2.82%)
196,Realty Income Corporation,O,0.09%,52.79,1.03,(1.99%)
197,Howmet Aerospace Inc.,HWM,0.09%,110.83,1.48,(1.35%)
198,Edwards Lifesciences Corp,EW,0.09%,74.81,0.88,(1.19%)
199,"Dominion Energy, Inc.",D,0.09%,53.66,0.67,(1.26%)
200,Kimberly-Clark Corp.,KMB,0.09%,131.32,-0.13,(-0.10%)
201,"Axon Enterprise, Inc.",AXON,0.09%,631.69,16.01,(2.60%)
202,Paychex Inc,PAYX,0.09%,139.54,1.73,(1.26%)
203,Marathon Petroleum Corporation,MPC,0.09%,133.38,1.73,(1.31%)
204,Te Connectivity Plc,TEL,0.09%,143.67,-0.22,(-0.15%)
205,"Fidelity National Information Services, Inc.",FIS,0.09%,81.46,1.32,(1.65%)
206,Lululemon Athletica Inc.,LULU,0.09%,379.42,5.88,(1.57%)
207,Discover Financial Services,DFS,0.09%,173.16,3.89,(2.30%)
208,Newmont Corporation,NEM,0.09%,38.28,1.26,(3.40%)
209,Pg&e Corporation,PCG,0.09%,19.82,0.40,(2.06%)
210,Fastenal Co,FAST,0.09%,74.82,0.79,(1.07%)
211,"Ametek, Inc.",AME,0.08%,183.36,1.25,(0.69%)
212,Republic Services Inc.,RSG,0.08%,203.73,-0.22,(-0.11%)
213,Public Service Enterprise Group Incorporated,PEG,0.08%,85.06,1.87,(2.25%)
214,Kenvue Inc.,KVUE,0.08%,21.77,0.16,(0.74%)
215,"Prudential Financial, Inc.",PRU,0.08%,117.83,2.36,(2.04%)
216,The Kroger Co.,KR,0.08%,61.85,0.89,(1.46%)
217,D.R. Horton Inc.,DHI,0.08%,139.61,2.37,(1.73%)
218,"L3harris Technologies, Inc.",LHX,0.08%,213.55,2.91,(1.38%)
219,Baker Hughes Company,BKR,0.08%,40.32,0.52,(1.31%)
220,"Cencora, Inc.",COR,0.08%,227.69,1.42,(0.63%)
221,Crown Castle Inc.,CCI,0.08%,90.66,-0.07,(-0.08%)
222,Cognizant Technology Solutions,CTSH,0.08%,79.23,-0.26,(-0.33%)
223,"Verisk Analytics, Inc.",VRSK,0.08%,276.86,1.28,(0.46%)
224,"Corteva, Inc.",CTVA,0.08%,57.48,1.32,(2.35%)
225,Agilent Technologies Inc.,A,0.08%,134.51,1.32,(0.99%)
226,"Delta Air Lines, Inc.",DAL,0.08%,60.93,0.55,(0.91%)
227,Valero Energy Corporation,VLO,0.08%,118.59,-0.34,(-0.29%)
228,Ford Motor Company,F,0.08%,9.88,0.14,(1.44%)
229,"Cbre Group, Inc.",CBRE,0.08%,129.16,3.51,(2.79%)
230,Targa Resources Corp.,TRGP,0.08%,176.79,4.26,(2.47%)
231,Sysco Corporation,SYY,0.08%,76.97,0.42,(0.55%)
